#,question_word,correct_answer_word,system_guess_word,label
1,enormously,tremendously,tremendously,correct
2,provisions,stipulations,interpretations,guess
3,haphazardly,randomly,randomly,correct
4,prominent,conspicuous,conspicuous,correct
5,zenith,pinnacle,pinnacle,correct
6,flawed,imperfect,imperfect,correct
7,urgently,desperately,desperately,correct
8,consumed,eaten,caught,guess
9,advent,coming,coming,correct
10,concisely,succinctly,succinctly,correct
11,salutes,greetings,greetings,guess
12,solitary,alone,restless,wrong
13,hasten,accelerate,accelerate,correct
14,perseverance,endurance,generosity,wrong
15,fanciful,imaginative,imaginative,correct
16,showed,demonstrated,postponed,guess
17,constantly,continually,continually,correct
18,issues,subjects,subjects,guess
19,furnish,supply,supply,correct
20,costly,expensive,expensive,correct
21,recognized,acknowledged,successful,guess
22,spot,location,location,correct
23,make,earn,earn,correct
24,often,frequently,frequently,correct
25,easygoing,relaxed,boring,wrong
26,debate,argument,argument,correct
27,narrow,thin,thin,correct
28,arranged,planned,explained,guess
29,infinite,limitless,limitless,correct
30,showy,striking,prickly,wrong
31,levied,imposed,believed,guess
32,deftly,skillfully,skillfully,correct
33,distribute,circulate,circulate,correct
34,discrepancies,differences,differences,guess
35,prolific,productive,productive,correct
36,unmatched,unequaled,unequaled,correct
37,peculiarly,uniquely,uniquely,correct
38,hue,color,color,correct
39,hind,rear,hairy,wrong
40,highlight,accentuate,accentuate,correct
41,hastily,hurriedly,hurriedly,correct
42,temperate,mild,cold,wrong
43,grin,smile,smile,correct
44,verbally,orally,overtly,wrong
45,physician,doctor,pharmacist,wrong
46,essentially,basically,basically,correct
47,keen,sharp,sharp,correct
48,situated,positioned,positioned,correct
49,principal,major,major,correct
50,slowly,gradually,gradually,correct
51,built,constructed,constructed,guess
52,tasks,jobs,jobs,guess
53,unlikely,improbable,improbable,correct
54,halfheartedly,apathetically,customarily,guess
55,annals,chronicles,homes,guess
56,wildly,furiously,furiously,correct
57,hailed,acclaimed,remembered,guess
58,command,mastery,observation,wrong
59,concocted,devised,supervised,guess
60,prospective,potential,potential,correct
61,generally,broadly,broadly,correct
62,sustained,prolonged,prolonged,correct
63,perilous,dangerous,dangerous,correct
64,tranquillity,peacefulness,peacefulness,correct
65,dissipate,disperse,isolate,wrong
66,primarily,chiefly,chiefly,correct
67,colloquial,conversational,conversational,correct
68,resolved,settled,settled,guess
69,feasible,possible,possible,correct
70,expeditiously,rapidly,rapidly,correct
71,percentage,proportion,proportion,correct
72,terminated,ended,ended,guess
73,uniform,alike,alike,correct
74,figure,solve,solve,correct
75,sufficient,enough,enough,correct
76,fashion,manner,manner,correct
77,marketed,sold,sweetened,guess
78,bigger,larger,larger,correct
79,roots,origins,rituals,guess
80,normally,ordinarily,ordinarily,correct
